,time,hum,pre,rain,sunlight,temp,visible-1,w-1,w-2,w-3,weather
0,2021/05/10 12:30,55,1010.2,0.0,6.5,32.591,>30,SW,2.02,--,CLEAR
1,2021/05/10 12:20,55,1010.3,0.0,6.3,32.290,>30,SW,2.32,--,CLEAR
2,2021/05/10 12:10,55,1010.4,0.0,6.2,32.090,>30,WSW,2.12,--,CLEAR
3,2021/05/10 12:00,52,1010.6,0.0,6.0,32.791,>30,WSW,1.51,6.34,CLEAR
4,2021/05/10 11:50,56,1010.7,0.0,5.8,31.989,>30,WSW,1.82,--,CLEAR
5,2021/05/10 11:40,57,1010.8,0.0,5.7,31.388,>30,W,2.62,--,CLEAR
6,2021/05/10 11:30,56,1010.8,0.0,5.5,32.490,>30,SW,1.82,--,CLEAR
7,2021/05/10 11:20,60,1010.8,0.0,5.3,30.988,>30,W,1.72,--,CLEAR
8,2021/05/10 11:10,59,1011.0,0.0,5.2,31.489,>30,W,2.52,--,CLEAR
9,2021/05/10 11:00,58,1011.0,0.0,5.0,31.489,21-30,WSW,2.12,6.24,CLEAR
10,2021/05/10 10:50,59,1011.0,0.0,4.8,31.489,>30,SW,1.82,--,CLEAR
11,2021/05/10 10:40,58,1011.0,0.0,4.7,31.889,>30,W,1.92,--,CLEAR
12,2021/05/10 10:30,58,1011.1,0.0,4.5,31.288,>30,SSW,1.82,--,CLEAR
13,2021/05/10 10:20,59,1011.1,0.0,4.3,30.988,>30,WSW,1.92,--,CLEAR
14,2021/05/10 10:10,58,1011.2,0.0,4.2,31.288,>30,W,2.22,--,CLEAR
15,2021/05/10 10:00,59,1011.1,0.0,4.0,30.887,>30,WSW,1.72,4.83,CLEAR
16,2021/05/10 09:50,58,1011.2,0.0,3.8,31.589,>30,WSW,1.82,--,CLEAR
17,2021/05/10 09:40,58,1011.2,0.0,3.7,31.789,>30,SSW,1.72,--,CLEAR
18,2021/05/10 09:30,64,1011.3,0.0,3.5,30.286,>30,S,1.31,--,CLEAR
19,2021/05/10 09:20,61,1011.3,0.0,3.3,30.988,>30,S,1.41,--,CLEAR
20,2021/05/10 09:10,64,1011.4,0.0,3.2,30.487,>30,SSW,0.81,--,CLEAR
21,2021/05/10 09:00,65,1011.5,0.0,3.0,29.986,21-30,SW,1.62,4.83,CLEAR
22,2021/05/10 08:50,69,1011.6,0.0,2.8,29.184,>30,SW,1.62,--,CLEAR
23,2021/05/10 08:40,68,1011.3,0.0,2.8,29.585,>30,SSW,1.92,--,CLEAR
24,2021/05/10 08:30,65,1011.2,0.0,2.7,30.186,>30,ESE,1.31,--,CLEAR
25,2021/05/10 08:20,67,1011.3,0.0,2.6,29.685,>30,SSE,1.31,--,CLEAR
26,2021/05/10 08:10,67,1011.2,0.0,2.4,29.485,>30,ESE,1.41,--,CLEAR
27,2021/05/10 08:00,69,1011.2,0.0,2.2,28.884,21-30,S,1.11,3.02,CLEAR
28,2021/05/10 07:50,70,1011.1,0.0,2.1,28.884,>30,SE,1.41,--,CLEAR
29,2021/05/10 07:40,71,1011.0,0.0,1.9,28.683,>30,SE,0.61,--,CLEAR
30,2021/05/10 07:30,73,1011.0,0.0,1.7,28.082,>30,S,0.61,--,CLEAR
