Date,StnPres,SeaPres,Temperaure,Td dew point,RH,WS,WD,WSGus,WDGus,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount,power(KWH),Solar Irradiance,month,date,hour
2016-01-01 06:00:00,1021.4,1024.6,14.8,11.3,80,3.0,10.0,6.8,20,0.0,0.0,0.0,0.0,,,,,4.164693604,1,1,6
2016-01-01 07:00:00,1022.1,1025.3,14.6,11.4,81,2.9,20.0,5.7,20,0.0,0.0,0.0,0.0,,,,,107.93322590000001,1,1,7
2016-01-01 08:00:00,1022.7,1025.9,15.8,12.1,79,3.0,10.0,5.1,360,0.0,0.0,0.7,0.3,10.0,,6.0,146.0,305.363132,1,1,8
2016-01-01 09:00:00,1023.2,1026.4,18.3,13.1,72,2.5,350.0,6.5,30,0.0,0.0,1.0,0.89,12.0,,5.0,444.0,477.31542800000005,1,1,9
2016-01-01 10:00:00,1023.0,1026.2,19.2,13.3,69,5.5,350.0,8.1,350,0.0,0.0,1.0,1.52,,,,680.0,621.6370469,1,1,10
2016-01-01 11:00:00,1022.5,1025.7,20.1,14.4,70,5.1,350.0,9.8,360,0.0,0.0,1.0,1.32,12.0,,6.0,892.0,664.6874952000001,1,1,11
2016-01-01 12:00:00,1021.5,1024.7,20.5,15.2,72,8.2,360.0,14.0,360,0.0,0.0,1.0,2.3,,,,932.0,623.5372818,1,1,12
2016-01-01 13:00:00,1020.5,1023.7,21.2,16.0,72,8.0,350.0,14.3,350,0.0,0.0,1.0,2.21,,,,882.0,574.0499534,1,1,13
2016-01-01 14:00:00,1019.9,1023.1,20.4,15.9,75,9.7,360.0,15.3,360,0.0,0.0,1.0,2.0,12.0,,5.0,830.0,468.61137560000003,1,1,14
2016-01-01 15:00:00,1019.8,1023.0,20.6,16.2,76,7.3,340.0,14.9,350,0.0,0.0,1.0,1.65,,,,680.0,278.4130002,1,1,15
2016-01-01 16:00:00,1020.1,1023.3,19.5,15.7,79,9.0,350.0,15.7,340,0.0,0.0,1.0,0.97,,,,348.0,92.77943302,1,1,16
2016-01-01 17:00:00,1020.3,1023.5,18.7,15.2,80,8.8,350.0,15.5,350,0.0,0.0,0.5,0.29,10.0,,7.0,70.0,4.196257506999999,1,1,17
2016-01-01 18:00:00,1020.9,1024.1,18.6,15.5,82,7.1,350.0,15.1,350,0.0,0.0,0.0,0.0,,,,,0.928991205,1,1,18
2016-01-02 06:00:00,1019.4,1022.6,17.8,15.4,86,3.0,10.0,7.3,20,0.0,0.0,0.0,0.0,,,,,3.0231849439999996,1,2,6
2016-01-02 07:00:00,1020.2,1023.4,17.8,15.0,84,3.0,10.0,7.5,20,0.0,0.0,0.0,0.0,,,,,52.85058559,1,2,7
2016-01-02 08:00:00,1020.4,1023.6,18.4,15.3,82,4.2,20.0,9.5,20,0.0,0.0,0.1,0.08,8.0,,8.0,94.0,217.2397569,1,2,8
2016-01-02 09:00:00,1020.4,1023.6,19.5,15.5,78,4.2,360.0,11.1,20,0.0,0.0,0.3,0.78,8.0,,8.0,308.0,239.2960242,1,2,9
2016-01-02 10:00:00,1020.6,1023.8,19.9,15.7,77,6.8,340.0,10.5,350,0.0,0.0,0.1,1.15,,,,310.0,397.35805189999996,1,2,10
2016-01-02 11:00:00,1020.2,1023.4,20.4,16.0,76,6.8,350.0,11.0,360,0.0,0.0,0.3,1.52,8.0,,9.0,604.0,371.2008375,1,2,11
2016-01-02 12:00:00,1019.4,1022.6,20.2,16.0,77,7.0,350.0,12.4,350,0.0,0.0,0.1,1.42,,,,518.0,285.26997819999997,1,2,12
2016-01-02 13:00:00,1018.4,1021.6,20.5,16.4,77,5.2,350.0,9.3,340,0.0,0.0,0.0,1.31,,,,410.0,180.4445055,1,2,13
2016-01-02 14:00:00,1018.2,1021.4,19.9,16.4,80,4.3,340.0,8.0,350,0.0,0.0,0.0,1.0,8.0,,10.0,216.0,67.28073163,1,2,14
2016-01-02 15:00:00,1018.3,1021.5,19.2,16.5,84,4.5,350.0,7.8,10,0.0,0.0,0.0,0.48,,,,74.0,43.75666858,1,2,15
2016-01-02 16:00:00,1017.5,1020.7,18.4,16.8,90,3.6,360.0,7.1,350,0.4,0.5,0.0,0.0,,,,52.0,24.73006071,1,2,16
2016-01-02 17:00:00,1017.4,1020.6,18.7,17.1,90,2.8,340.0,5.8,360,0.0,0.0,0.0,0.0,4.0,,10.0,10.0,1.787700111,1,2,17
2016-01-02 18:00:00,1017.8,1021.0,18.6,16.9,90,4.2,350.0,7.7,360,0.0,0.0,0.0,0.0,,,,,0.7437093020000001,1,2,18
