Date,power(KWH),hour,power(KWH)_replaced
2016-01-01 01:00:00,0.0,1,0.0
2016-01-01 02:00:00,0.0,2,0.0
2016-01-01 03:00:00,0.0,3,0.0
2016-01-01 04:00:00,0.0,4,0.0
2016-01-01 05:00:00,0.0,5,0.0
2016-01-01 06:00:00,0.0,6,0.0
2016-01-01 07:00:00,0.0,7,0.0
2016-01-01 08:00:00,146.0,8,146.0
2016-01-01 09:00:00,444.0,9,444.0
2016-01-01 10:00:00,680.0,10,680.0
2016-01-01 11:00:00,892.0,11,892.0
2016-01-01 12:00:00,932.0,12,932.0
2016-01-01 13:00:00,882.0,13,882.0
2016-01-01 14:00:00,830.0,14,830.0
2016-01-01 15:00:00,680.0,15,680.0
2016-01-01 16:00:00,348.0,16,348.0
2016-01-01 17:00:00,70.0,17,70.0
2016-01-01 18:00:00,0.0,18,0.0
2016-01-01 19:00:00,0.0,19,0.0
2016-01-01 20:00:00,0.0,20,0.0
2016-01-01 21:00:00,0.0,21,0.0
2016-01-01 22:00:00,0.0,22,0.0
2016-01-01 23:00:00,0.0,23,0.0
2016-01-02 00:00:00,0.0,0,0.0
2016-01-02 01:00:00,0.0,1,0.0
2016-01-02 02:00:00,0.0,2,0.0
2016-01-02 03:00:00,0.0,3,0.0
2016-01-02 04:00:00,0.0,4,0.0
2016-01-02 05:00:00,0.0,5,0.0
2016-01-02 06:00:00,0.0,6,0.0
2016-01-02 07:00:00,0.0,7,0.0
2016-01-02 08:00:00,94.0,8,94.0
2016-01-02 09:00:00,308.0,9,308.0
2016-01-02 10:00:00,310.0,10,310.0
2016-01-02 11:00:00,604.0,11,604.0
2016-01-02 12:00:00,518.0,12,518.0
2016-01-02 13:00:00,410.0,13,410.0
2016-01-02 14:00:00,216.0,14,216.0
2016-01-02 15:00:00,74.0,15,74.0
2016-01-02 16:00:00,52.0,16,52.0
2016-01-02 17:00:00,10.0,17,10.0
2016-01-02 18:00:00,0.0,18,0.0
2016-01-02 19:00:00,0.0,19,0.0
2016-01-02 20:00:00,0.0,20,0.0
2016-01-02 21:00:00,0.0,21,0.0
2016-01-02 22:00:00,0.0,22,0.0
2016-01-02 23:00:00,0.0,23,0.0
2016-01-03 00:00:00,0.0,0,0.0
2016-01-03 01:00:00,0.0,1,0.0
2016-01-03 02:00:00,0.0,2,0.0
2016-01-03 03:00:00,0.0,3,0.0
2016-01-03 04:00:00,0.0,4,0.0
2016-01-03 05:00:00,0.0,5,0.0
2016-01-03 06:00:00,0.0,6,0.0
2016-01-03 07:00:00,0.0,7,0.0
2016-01-03 08:00:00,16.0,8,16.0
2016-01-03 09:00:00,316.0,9,316.0
2016-01-03 10:00:00,172.0,10,172.0
2016-01-03 11:00:00,110.0,11,110.0
2016-01-03 12:00:00,110.0,12,110.0
2016-01-03 13:00:00,156.0,13,156.0
2016-01-03 14:00:00,164.0,14,164.0
2016-01-03 15:00:00,150.0,15,150.0
2016-01-03 16:00:00,38.0,16,38.0
2016-01-03 17:00:00,6.0,17,6.0
2016-01-03 18:00:00,0.0,18,0.0
2016-01-03 19:00:00,0.0,19,0.0
2016-01-03 20:00:00,0.0,20,0.0
2016-01-03 21:00:00,0.0,21,0.0
2016-01-03 22:00:00,0.0,22,0.0
2016-01-03 23:00:00,0.0,23,0.0
2016-01-04 00:00:00,0.0,0,0.0
2016-01-04 01:00:00,0.0,1,0.0
2016-01-04 02:00:00,0.0,2,0.0
2016-01-04 03:00:00,0.0,3,0.0
2016-01-04 04:00:00,0.0,4,0.0
2016-01-04 05:00:00,0.0,5,0.0
2016-01-04 06:00:00,0.0,6,0.0
2016-01-04 07:00:00,0.0,7,0.0
2016-01-04 08:00:00,48.0,8,48.0
2016-01-04 09:00:00,376.0,9,376.0
2016-01-04 10:00:00,448.0,10,448.0
2016-01-04 11:00:00,520.0,11,520.0
2016-01-04 12:00:00,710.0,12,710.0
2016-01-04 13:00:00,462.0,13,462.0
2016-01-04 14:00:00,582.0,14,582.0
2016-01-04 15:00:00,514.0,15,514.0
2016-01-04 16:00:00,370.0,16,370.0
2016-01-04 17:00:00,70.0,17,70.0
2016-01-04 18:00:00,0.0,18,0.0
2016-01-04 19:00:00,0.0,19,0.0
2016-01-04 20:00:00,0.0,20,0.0
2016-01-04 21:00:00,0.0,21,0.0
2016-01-04 22:00:00,0.0,22,0.0
2016-01-04 23:00:00,0.0,23,0.0
